date,n,k,state,dist_weather,dist_atmospheric
2024-05-20,7,3,0000000,0.0,0.0
2024-05-20,7,3,0000001,0.1,0.3
2024-05-20,7,3,0000010,0.2,0.6
2024-05-20,7,3,0000100,0.3,0.9
2024-05-20,7,3,0001000,0.4,0.2
2024-05-20,7,3,0010000,0.5,0.5
2024-05-20,7,3,0100000,0.6,0.8
2024-05-20,7,3,1000000,0.7,0.1
2024-05-20,7,3,0000002,0.8,0.4
2024-05-20,7,3,0000020,0.9,0.7
2024-05-20,7,3,0000200,0.0,0.0
2024-05-20,7,3,0002000,0.1,0.3
2024-05-20,7,3,0020000,0.2,0.6
2024-05-20,7,3,0200000,0.3,0.9
2024-05-20,7,3,2000001,0.4,0.2
2024-05-20,7,3,0000011,0.5,0.5
2024-05-20,7,3,0000110,0.6,0.8
2024-05-20,7,3,0001100,0.7,0.1
2024-05-20,7,3,0011000,0.8,0.4
2024-05-20,7,3,0110000,0.9,0.7
2024-05-20,7,3,1100000,0.0,0.0
2024-05-20,7,3,1000001,0.1,0.3
2024-05-20,7,3,0000012,0.2,0.6
2024-05-20,7,3,0000120,0.3,0.9
2024-05-20,7,3,0001200,0.4,0.2
2024-05-20,7,3,0012000,0.5,0.5
2024-05-20,7,3,0120000,0.6,0.8
2024-05-20,7,3,1200000,0.7,0.1
2024-05-20,7,3,2000002,0.8,0.4
2024-05-20,7,3,0000021,0.9,0.7
2024-05-20,7,3,0000210,0.0,0.0
2024-05-20,7,3,0002100,0.1,0.3
2024-05-20,7,3,0021000,0.2,0.6
2024-05-20,7,3,0210000,0.3,0.9
2024-05-20,7,3,2100000,0.4,0.2
2024-05-20,7,3,1000002,0.5,0.5
2024-05-20,7,3,0000022,0.6,0.8
2024-05-20,7,3,0000220,0.7,0.1
2024-05-20,7,3,0002200,0.8,0.4
2024-05-20,7,3,0022000,0.9,0.7
2024-05-20,7,3,0220000,0.0,0.0
2024-05-20,7,3,2200001,0.1,0.3
2024-05-20,7,3,2000010,0.2,0.6
2024-05-20,7,3,0000101,0.3,0.9
2024-05-20,7,3,0001010,0.4,0.2
2024-05-20,7,3,0010100,0.5,0.5
2024-05-20,7,3,0101000,0.6,0.8
2024-05-20,7,3,1010000,0.7,0.1
2024-05-20,7,3,0100001,0.8,0.4
2024-05-20,7,3,1000010,0.9,0.7
2024-05-20,7,3,0000102,0.0,0.0
2024-05-20,7,3,0001020,0.1,0.3
2024-05-20,7,3,0010200,0.2,0.6
2024-05-20,7,3,0102000,0.3,0.9
2024-05-20,7,3,1020000,0.4,0.2
2024-05-20,7,3,0200001,0.5,0.5
2024-05-20,7,3,2000011,0.6,0.8
2024-05-20,7,3,0000111,0.7,0.1
2024-05-20,7,3,0001110,0.8,0.4
2024-05-20,7,3,0011100,0.9,0.7
2024-05-20,7,3,0111000,0.0,0.0
2024-05-20,7,3,1110000,0.1,0.3
2024-05-20,7,3,1100001,0.2,0.6
2024-05-20,7,3,1000011,0.3,0.9
2024-05-20,7,3,0000112,0.4,0.2
2024-05-20,7,3,0001120,0.5,0.5
2024-05-20,7,3,0011200,0.6,0.8
2024-05-20,7,3,0112000,0.7,0.1
2024-05-20,7,3,1120000,0.8,0.4
2024-05-20,7,3,1200001,0.9,0.7
2024-05-20,7,3,2000012,0.0,0.0
2024-05-20,7,3,0000121,0.1,0.3
2024-05-20,7,3,0001210,0.2,0.6
2024-05-20,7,3,0012100,0.3,0.9
2024-05-20,7,3,0121000,0.4,0.2
2024-05-20,7,3,1210000,0.5,0.5
2024-05-20,7,3,2100001,0.6,0.8
2024-05-20,7,3,1000012,0.7,0.1
2024-05-20,7,3,0000122,0.8,0.4
2024-05-20,7,3,0001220,0.9,0.7
2024-05-20,7,3,0012200,0.0,0.0
2024-05-20,7,3,0122000,0.1,0.3
2024-05-20,7,3,1220000,0.2,0.6
2024-05-20,7,3,2200002,0.3,0.9
2024-05-20,7,3,2000020,0.4,0.2
2024-05-20,7,3,0000201,0.5,0.5
2024-05-20,7,3,0002010,0.6,0.8
2024-05-20,7,3,0020100,0.7,0.1
2024-05-20,7,3,0201000,0.8,0.4
2024-05-20,7,3,2010000,0.9,0.7
2024-05-20,7,3,0100002,0.0,0.0
2024-05-20,7,3,1000020,0.1,0.3
2024-05-20,7,3,0000202,0.2,0.6
2024-05-20,7,3,0002020,0.3,0.9
2024-05-20,7,3,0020200,0.4,0.2
2024-05-20,7,3,0202000,0.5,0.5
2024-05-20,7,3,2020000,0.6,0.8
2024-05-20,7,3,0200002,0.7,0.1
2024-05-20,7,3,2000021,0.8,0.4
2024-05-20,7,3,0000211,0.9,0.7
2024-05-20,7,3,0002110,0.0,0.0
2024-05-20,7,3,0021100,0.1,0.3
2024-05-20,7,3,0211000,0.2,0.6
2024-05-20,7,3,2110000,0.3,0.9
2024-05-20,7,3,1100002,0.4,0.2
2024-05-20,7,3,1000021,0.5,0.5
2024-05-20,7,3,0000212,0.6,0.8
2024-05-20,7,3,0002120,0.7,0.1
2024-05-20,7,3,0021200,0.8,0.4
2024-05-20,7,3,0212000,0.9,0.7
2024-05-20,7,3,2120000,0.0,0.0
2024-05-20,7,3,1200002,0.1,0.3
2024-05-20,7,3,2000022,0.2,0.6
2024-05-20,7,3,0000221,0.3,0.9
2024-05-20,7,3,0002210,0.4,0.2
2024-05-20,7,3,0022100,0.5,0.5
2024-05-20,7,3,0221000,0.6,0.8
2024-05-20,7,3,2210000,0.7,0.1
2024-05-20,7,3,2100002,0.8,0.4
2024-05-20,7,3,1000022,0.9,0.7
2024-05-20,7,3,0000222,0.0,0.0
2024-05-20,7,3,0002220,0.1,0.3
2024-05-20,7,3,0022200,0.2,0.6
2024-05-20,7,3,0222000,0.3,0.9
2024-05-20,7,3,2220001,0.4,0.2
2024-05-20,7,3,2200010,0.5,0.5
2024-05-20,7,3,2000100,0.6,0.8
2024-05-20,7,3,0001001,0.7,0.1
2024-05-20,7,3,0010010,0.8,0.4
2024-05-20,7,3,0100100,0.9,0.7
2024-05-20,7,3,1001000,0.0,0.0
2024-05-20,7,3,0010001,0.1,0.3
2024-05-20,7,3,0100010,0.2,0.6
2024-05-20,7,3,1000100,0.3,0.9
2024-05-20,7,3,0001002,0.4,0.2
2024-05-20,7,3,0010020,0.5,0.5
2024-05-20,7,3,0100200,0.6,0.8
2024-05-20,7,3,1002000,0.7,0.1
2024-05-20,7,3,0020001,0.8,0.4
2024-05-20,7,3,0200010,0.9,0.7
2024-05-20,7,3,2000101,0.0,0.0
2024-05-20,7,3,0001011,0.1,0.3
2024-05-20,7,3,0010110,0.2,0.6
2024-05-20,7,3,0101100,0.3,0.9
2024-05-20,7,3,1011000,0.4,0.2
2024-05-20,7,3,0110001,0.5,0.5
2024-05-20,7,3,1100010,0.6,0.8
2024-05-20,7,3,1000101,0.7,0.1
2024-05-20,7,3,0001012,0.8,0.4
2024-05-20,7,3,0010120,0.9,0.7
2024-05-20,7,3,0101200,0.0,0.0
2024-05-20,7,3,1012000,0.1,0.3
2024-05-20,7,3,0120001,0.2,0.6
2024-05-20,7,3,1200010,0.3,0.9
2024-05-20,7,3,2000102,0.4,0.2
2024-05-20,7,3,0001021,0.5,0.5
2024-05-20,7,3,0010210,0.6,0.8
2024-05-20,7,3,0102100,0.7,0.1
2024-05-20,7,3,1021000,0.8,0.4
2024-05-20,7,3,0210001,0.9,0.7
2024-05-20,7,3,2100010,0.0,0.0
2024-05-20,7,3,1000102,0.1,0.3
2024-05-20,7,3,0001022,0.2,0.6
2024-05-20,7,3,0010220,0.3,0.9
2024-05-20,7,3,0102200,0.4,0.2
2024-05-20,7,3,1022000,0.5,0.5
2024-05-20,7,3,0220001,0.6,0.8
2024-05-20,7,3,2200011,0.7,0.1
2024-05-20,7,3,2000110,0.8,0.4
