date,n,k,best_d,best_c,ccw,lambda,best_error,dominance_case,color,weather_weight,atmospheric_weight
2024-05-20,2,2,1,0.0,0.0,0.5,0.075,weather_dominates,blue,1.0,0.0
2024-05-20,2,3,1,0.0,0.0,0.5,0.2,weather_dominates,blue,1.0,0.0
2024-05-20,2,4,1,0.0,0.0,0.5,0.1875,weather_dominates,blue,1.0,0.0
2024-05-20,3,2,1,0.0,0.0,0.5,0.116667,weather_dominates,blue,1.0,0.0
2024-05-20,3,3,1,0.0,0.0,0.5,0.137037,weather_dominates,blue,1.0,0.0
2024-05-20,3,4,1,0.0,0.0,0.5,0.14375,weather_dominates,blue,1.0,0.0
2024-05-20,4,2,1,0.0,0.0,0.5,0.09375,weather_dominates,blue,1.0,0.0
2024-05-20,4,3,1,0.0,0.0,0.5,0.111111,weather_dominates,blue,1.0,0.0
2024-05-20,4,4,1,0.0,0.0,0.5,0.111328,weather_dominates,blue,1.0,0.0
2024-05-20,5,2,1,0.0,0.0,0.5,0.085,weather_dominates,blue,1.0,0.0
2024-05-20,5,3,1,0.0,0.0,0.5,0.089136,weather_dominates,blue,1.0,0.0
2024-05-20,5,4,1,0.0,0.0,0.5,0.089766,weather_dominates,blue,1.0,0.0
2024-05-20,6,2,1,0.0,0.0,0.5,0.071875,weather_dominates,blue,1.0,0.0
2024-05-20,6,3,1,0.0,0.0,0.5,0.074897,weather_dominates,blue,1.0,0.0
2024-05-20,6,4,1,0.0,0.0,0.5,0.074951,weather_dominates,blue,1.0,0.0
2024-05-20,7,2,1,0.0,0.0,0.5,0.063393,weather_dominates,blue,1.0,0.0
2024-05-20,7,3,1,0.0,0.0,0.5,0.064217,weather_dominates,blue,1.0,0.0
2024-05-20,7,4,1,0.0,0.0,0.5,0.064275,weather_dominates,blue,1.0,0.0
2024-05-20,8,2,1,0.0,0.0,0.5,0.055664,weather_dominates,blue,1.0,0.0
2024-05-20,8,3,1,0.0,0.0,0.5,0.056241,weather_dominates,blue,1.0,0.0
2024-05-20,8,4,1,0.0,0.0,0.5,0.056248,weather_dominates,blue,1.0,0.0
