date,n,k,d,c,ccw,lambda,error_combined,dominance_case,color,weather_weight,atmospheric_weight
2024-05-20,2,2,1,0.0,0.0,0.5,0.075,weather_dominates,blue,1.0,0.0
2024-05-20,2,2,1,0.1,0.1,0.5,0.09,weather_dominates,blue,0.9,0.1
2024-05-20,2,2,1,0.2,0.2,0.5,0.105,weather_dominates,blue,0.8,0.2
2024-05-20,2,2,1,0.3,0.3,0.5,0.12,hybrid,purple,0.7,0.3
2024-05-20,2,2,1,0.4,0.4,0.5,0.135,hybrid,purple,0.6,0.4
2024-05-20,2,2,1,0.5,0.5,0.5,0.15,hybrid,purple,0.5,0.5
2024-05-20,2,2,1,0.6,0.6,0.5,0.165,hybrid,purple,0.4,0.6
2024-05-20,2,2,1,0.7,0.7,0.5,0.18,hybrid,purple,0.3,0.7
2024-05-20,2,2,1,0.8,0.8,0.5,0.195,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,2,1,0.9,0.9,0.5,0.21,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,2,1,1.0,1.0,0.5,0.225,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,2,2,0.0,0.0,0.5,0.07875,weather_dominates,blue,1.0,0.0
2024-05-20,2,2,2,0.1,0.1,0.5,0.0945,weather_dominates,blue,0.9,0.1
2024-05-20,2,2,2,0.2,0.2,0.5,0.11025,weather_dominates,blue,0.8,0.2
2024-05-20,2,2,2,0.3,0.3,0.5,0.126,hybrid,purple,0.7,0.3
2024-05-20,2,2,2,0.4,0.4,0.5,0.14175,hybrid,purple,0.6,0.4
2024-05-20,2,2,2,0.5,0.5,0.5,0.1575,hybrid,purple,0.5,0.5
2024-05-20,2,2,2,0.6,0.6,0.5,0.17325,hybrid,purple,0.4,0.6
2024-05-20,2,2,2,0.7,0.7,0.5,0.189,hybrid,purple,0.3,0.7
2024-05-20,2,2,2,0.8,0.8,0.5,0.20475,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,2,2,0.9,0.9,0.5,0.2205,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,2,2,1.0,1.0,0.5,0.23625,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,2,3,0.0,0.0,0.5,0.0825,weather_dominates,blue,1.0,0.0
2024-05-20,2,2,3,0.1,0.1,0.5,0.099,weather_dominates,blue,0.9,0.1
2024-05-20,2,2,3,0.2,0.2,0.5,0.1155,weather_dominates,blue,0.8,0.2
2024-05-20,2,2,3,0.3,0.3,0.5,0.132,hybrid,purple,0.7,0.3
2024-05-20,2,2,3,0.4,0.4,0.5,0.1485,hybrid,purple,0.6,0.4
2024-05-20,2,2,3,0.5,0.5,0.5,0.165,hybrid,purple,0.5,0.5
2024-05-20,2,2,3,0.6,0.6,0.5,0.1815,hybrid,purple,0.4,0.6
2024-05-20,2,2,3,0.7,0.7,0.5,0.198,hybrid,purple,0.3,0.7
2024-05-20,2,2,3,0.8,0.8,0.5,0.2145,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,2,3,0.9,0.9,0.5,0.231,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,2,3,1.0,1.0,0.5,0.2475,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,2,4,0.0,0.0,0.5,0.08625,weather_dominates,blue,1.0,0.0
2024-05-20,2,2,4,0.1,0.1,0.5,0.1035,weather_dominates,blue,0.9,0.1
2024-05-20,2,2,4,0.2,0.2,0.5,0.12075,weather_dominates,blue,0.8,0.2
2024-05-20,2,2,4,0.3,0.3,0.5,0.138,hybrid,purple,0.7,0.3
2024-05-20,2,2,4,0.4,0.4,0.5,0.15525,hybrid,purple,0.6,0.4
2024-05-20,2,2,4,0.5,0.5,0.5,0.1725,hybrid,purple,0.5,0.5
2024-05-20,2,2,4,0.6,0.6,0.5,0.18975,hybrid,purple,0.4,0.6
2024-05-20,2,2,4,0.7,0.7,0.5,0.207,hybrid,purple,0.3,0.7
2024-05-20,2,2,4,0.8,0.8,0.5,0.22425,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,2,4,0.9,0.9,0.5,0.2415,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,2,4,1.0,1.0,0.5,0.25875,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,2,5,0.0,0.0,0.5,0.09,weather_dominates,blue,1.0,0.0
2024-05-20,2,2,5,0.1,0.1,0.5,0.108,weather_dominates,blue,0.9,0.1
2024-05-20,2,2,5,0.2,0.2,0.5,0.126,weather_dominates,blue,0.8,0.2
2024-05-20,2,2,5,0.3,0.3,0.5,0.144,hybrid,purple,0.7,0.3
2024-05-20,2,2,5,0.4,0.4,0.5,0.162,hybrid,purple,0.6,0.4
2024-05-20,2,2,5,0.5,0.5,0.5,0.18,hybrid,purple,0.5,0.5
2024-05-20,2,2,5,0.6,0.6,0.5,0.198,hybrid,purple,0.4,0.6
2024-05-20,2,2,5,0.7,0.7,0.5,0.216,hybrid,purple,0.3,0.7
2024-05-20,2,2,5,0.8,0.8,0.5,0.234,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,2,5,0.9,0.9,0.5,0.252,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,2,5,1.0,1.0,0.5,0.27,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,2,6,0.0,0.0,0.5,0.09375,weather_dominates,blue,1.0,0.0
2024-05-20,2,2,6,0.1,0.1,0.5,0.1125,weather_dominates,blue,0.9,0.1
2024-05-20,2,2,6,0.2,0.2,0.5,0.13125,weather_dominates,blue,0.8,0.2
2024-05-20,2,2,6,0.3,0.3,0.5,0.15,hybrid,purple,0.7,0.3
2024-05-20,2,2,6,0.4,0.4,0.5,0.16875,hybrid,purple,0.6,0.4
2024-05-20,2,2,6,0.5,0.5,0.5,0.1875,hybrid,purple,0.5,0.5
2024-05-20,2,2,6,0.6,0.6,0.5,0.20625,hybrid,purple,0.4,0.6
2024-05-20,2,2,6,0.7,0.7,0.5,0.225,hybrid,purple,0.3,0.7
2024-05-20,2,2,6,0.8,0.8,0.5,0.24375,atmospheric_dominates,orange,0.2,0.8
2024-05-20,2,2,6,0.9,0.9,0.5,0.2625,atmospheric_dominates,orange,0.1,0.9
2024-05-20,2,2,6,1.0,1.0,0.5,0.28125,atmospheric_dominates,orange,0.0,1.0
2024-05-20,2,2,7,0.0,0.0,0.5,0.0975,weather_dominates,blue,1.0,0.0
2024-05-20,2,2,7,0.1,0.1,0.5,0.117,weather_dominates,blue,0.9,0.1
2024-05-20,2,2,7,0.2,0.2,0.5,0.1365,weather_dominates,blue,0.8,0.2
2024-05-20,2,2,7,0.3,0.3,0.5,0.156,hybrid,purple,0.7,0.3
2024-05-20,2,2,7,0.4,0.4,0.5,0.1755,hybrid,purple,0.6,0.4
2024-05-20,2,2,7,0.5,0.5,0.5,0.195,hybrid,purple,0.5,0.5
2024-05-20,2,2,7,0.6,0.6,0.5,0.2145,hybrid,purple,0.4,0.6
