state_index,state_word,next_state_index
0,0000000,1
1,0000001,2
2,0000010,3
3,0000100,4
4,0001000,5
5,0010000,6
6,0100000,7
7,1000000,8
8,0000002,9
9,0000020,10
10,0000200,11
11,0002000,12
12,0020000,13
13,0200000,14
14,2000001,15
15,0000011,16
16,0000110,17
17,0001100,18
18,0011000,19
19,0110000,20
20,1100000,21
21,1000001,22
22,0000012,23
23,0000120,24
24,0001200,25
25,0012000,26
26,0120000,27
27,1200000,28
28,2000002,29
29,0000021,30
30,0000210,31
31,0002100,32
32,0021000,33
33,0210000,34
34,2100000,35
35,1000002,36
36,0000022,37
37,0000220,38
38,0002200,39
39,0022000,40
40,0220000,41
41,2200001,42
42,2000010,43
43,0000101,44
44,0001010,45
45,0010100,46
46,0101000,47
47,1010000,48
48,0100001,49
49,1000010,50
50,0000102,51
51,0001020,52
52,0010200,53
53,0102000,54
54,1020000,55
55,0200001,56
56,2000011,57
57,0000111,58
58,0001110,59
59,0011100,60
60,0111000,61
61,1110000,62
62,1100001,63
63,1000011,64
64,0000112,65
65,0001120,66
66,0011200,67
67,0112000,68
68,1120000,69
69,1200001,70
70,2000012,71
71,0000121,72
72,0001210,73
73,0012100,74
74,0121000,75
75,1210000,76
76,2100001,77
77,1000012,78
78,0000122,79
79,0001220,80
80,0012200,81
81,0122000,82
82,1220000,83
83,2200002,84
84,2000020,85
85,0000201,86
86,0002010,87
87,0020100,88
88,0201000,89
89,2010000,90
90,0100002,91
91,1000020,92
92,0000202,93
93,0002020,94
94,0020200,95
95,0202000,96
96,2020000,97
97,0200002,98
98,2000021,99
99,0000211,100
100,0002110,101
101,0021100,102
102,0211000,103
103,2110000,104
104,1100002,105
105,1000021,106
106,0000212,107
107,0002120,108
108,0021200,109
109,0212000,110
110,2120000,111
111,1200002,112
112,2000022,113
113,0000221,114
114,0002210,115
115,0022100,116
116,0221000,117
117,2210000,118
118,2100002,119
119,1000022,120
120,0000222,121
121,0002220,122
122,0022200,123
123,0222000,124
124,2220001,125
125,2200010,126
126,2000100,127
127,0001001,128
128,0010010,129
129,0100100,130
130,1001000,131
131,0010001,132
132,0100010,133
133,1000100,134
134,0001002,135
135,0010020,136
136,0100200,137
137,1002000,138
138,0020001,139
139,0200010,140
140,2000101,141
141,0001011,142
142,0010110,143
143,0101100,144
144,1011000,145
145,0110001,146
146,1100010,147
147,1000101,148
148,0001012,149
149,0010120,150
150,0101200,151
151,1012000,152
152,0120001,153
153,1200010,154
154,2000102,155
155,0001021,156
156,0010210,157
157,0102100,158
158,1021000,159
159,0210001,160
160,2100010,161
161,1000102,162
162,0001022,163
163,0010220,164
164,0102200,165
165,1022000,166
166,0220001,167
167,2200011,168
168,2000110,169
169,0001101,170
170,0011010,171
171,0110100,172
172,1101000,173
173,1010001,174
174,0100011,175
175,1000110,176
176,0001102,177
177,0011020,178
178,0110200,179
179,1102000,180
180,1020001,181
181,0200011,182
182,2000111,183
183,0001111,184
184,0011110,185
185,0111100,186
186,1111000,187
187,1110001,188
188,1100011,189
189,1000111,190
190,0001112,191
191,0011120,192
192,0111200,193
193,1112000,194
194,1120001,195
195,1200011,196
196,2000112,197
197,0001121,198
198,0011210,199
199,0112100,200
200,1121000,201
201,1210001,202
202,2100011,203
203,1000112,204
204,0001122,205
205,0011220,206
206,0112200,207
207,1122000,208
208,1220001,209
209,2200012,210
210,2000120,211
211,0001201,212
212,0012010,213
213,0120100,214
214,1201000,215
215,2010001,216
216,0100012,217
217,1000120,218
218,0001202,219
219,0012020,220
220,0120200,221
221,1202000,222
222,2020001,223
223,0200012,224
224,2000121,225
225,0001211,226
226,0012110,227
227,0121100,228
228,1211000,229
229,2110001,230
230,1100012,231
231,1000121,232
232,0001212,233
233,0012120,234
234,0121200,235
235,1212000,236
236,2120001,237
237,1200012,238
238,2000122,239
239,0001221,240
240,0012210,241
241,0122100,242
242,1221000,243
243,2210001,244
244,2100012,245
245,1000122,246
246,0001222,247
247,0012220,248
248,0122200,249
249,1222000,250
250,2220002,251
251,2200020,252
252,2000200,253
253,0002001,254
254,0020010,255
255,0200100,256
256,2001000,257
257,0010002,258
258,0100020,259
259,1000200,260
260,0002002,261
261,0020020,262
262,0200200,263
263,2002000,264
264,0020002,265
265,0200020,266
266,2000201,267
267,0002011,268
268,0020110,269
269,0201100,270
270,2011000,271
271,0110002,272
272,1100020,273
273,1000201,274
274,0002012,275
275,0020120,276
276,0201200,277
277,2012000,278
278,0120002,279
279,1200020,280
280,2000202,281
281,0002021,282
282,0020210,283
283,0202100,284
284,2021000,285
285,0210002,286
286,2100020,287
287,1000202,288
288,0002022,289
289,0020220,290
290,0202200,291
291,2022000,292
292,0220002,293
293,2200021,294
294,2000210,295
295,0002101,296
296,0021010,297
297,0210100,298
298,2101000,299
299,1010002,300
300,0100021,301
301,1000210,302
302,0002102,303
303,0021020,304
304,0210200,305
305,2102000,306
306,1020002,307
307,0200021,308
308,2000211,309
309,0002111,310
310,0021110,311
311,0211100,312
312,2111000,313
313,1110002,314
314,1100021,315
315,1000211,316
316,0002112,317
317,0021120,318
318,0211200,319
319,2112000,320
320,1120002,321
321,1200021,322
322,2000212,323
323,0002121,324
324,0021210,325
325,0212100,326
326,2121000,327
327,1210002,328
328,2100021,329
329,1000212,330
330,0002122,331
331,0021220,332
332,0212200,333
333,2122000,334
334,1220002,335
335,2200022,336
336,2000220,337
337,0002201,338
338,0022010,339
339,0220100,340
340,2201000,341
341,2010002,342
342,0100022,343
343,1000220,344
344,0002202,345
345,0022020,346
346,0220200,347
347,2202000,348
348,2020002,349
349,0200022,350
350,2000221,351
351,0002211,352
352,0022110,353
353,0221100,354
354,2211000,355
355,2110002,356
356,1100022,357
357,1000221,358
358,0002212,359
359,0022120,360
360,0221200,361
361,2212000,362
362,2120002,363
363,1200022,364
364,2000222,365
365,0002221,366
366,0022210,367
367,0222100,368
368,2221000,369
369,2210002,370
370,2100022,371
371,1000222,372
372,0002222,373
373,0022220,374
374,0222200,375
375,2222001,376
376,2220010,377
377,2200100,378
378,2001001,379
379,0010011,380
380,0100110,381
381,1001100,382
382,0011001,383
383,0110010,384
384,1100100,385
385,1001001,386
386,0010012,387
387,0100120,388
388,1001200,389
389,0012001,390
390,0120010,391
391,1200100,392
392,2001002,393
393,0010021,394
394,0100210,395
395,1002100,396
396,0021001,397
397,0210010,398
398,2100100,399
399,1001002,400
400,0010022,401
401,0100220,402
402,1002200,403
403,0022001,404
404,0220010,405
405,2200101,406
406,2001010,407
407,0010101,408
408,0101010,409
409,1010100,410
410,0101001,411
411,1010010,412
412,0100101,413
413,1001010,414
414,0010102,415
415,0101020,416
416,1010200,417
417,0102001,418
418,1020010,419
419,0200101,420
420,2001011,421
421,0010111,422
422,0101110,423
423,1011100,424
424,0111001,425
425,1110010,426
426,1100101,427
427,1001011,428
428,0010112,429
429,0101120,430
430,1011200,431
431,0112001,432
432,1120010,433
433,1200101,434
434,2001012,435
435,0010121,436
436,0101210,437
437,1012100,438
438,0121001,439
439,1210010,440
440,2100101,441
441,1001012,442
442,0010122,443
443,0101220,444
444,1012200,445
445,0122001,446
446,1220010,447
447,2200102,448
448,2001020,449
449,0010201,450
450,0102010,451
451,1020100,452
452,0201001,453
453,2010010,454
454,0100102,455
455,1001020,456
456,0010202,457
457,0102020,458
458,1020200,459
459,0202001,460
460,2020010,461
461,0200102,462
462,2001021,463
463,0010211,464
464,0102110,465
465,1021100,466
466,0211001,467
467,2110010,468
468,1100102,469
469,1001021,470
470,0010212,471
471,0102120,472
472,1021200,473
473,0212001,474
474,2120010,475
475,1200102,476
476,2001022,477
477,0010221,478
478,0102210,479
479,1022100,480
480,0221001,481
481,2210010,482
482,2100102,483
483,1001022,484
484,0010222,485
485,0102220,486
486,1022200,487
487,0222001,488
488,2220011,489
489,2200110,490
490,2001100,491
491,0011002,492
492,0110020,493
493,1100200,494
494,1002001,495
495,0020011,496
496,0200110,497
497,2001101,498
498,0011011,499
499,0110110,500
500,1101100,501
501,1011001,502
502,0110011,503
503,1100110,504
504,1001101,505
505,0011012,506
506,0110120,507
507,1101200,508
508,1012001,509
509,0120011,510
510,1200110,511
511,2001102,512
512,0011021,513
513,0110210,514
514,1102100,515
515,1021001,516
516,0210011,517
517,2100110,518
518,1001102,519
519,0011022,520
520,0110220,521
521,1102200,522
522,1022001,523
523,0220011,524
524,2200111,525
525,2001110,526
526,0011101,527
527,0111010,528
528,1110100,529
529,1101001,530
530,1010011,531
531,0100111,532
532,1001110,533
533,0011102,534
534,0111020,535
535,1110200,536
536,1102001,537
537,1020011,538
538,0200111,539
539,2001111,540
540,0011111,541
541,0111110,542
542,1111100,543
543,1111001,544
544,1110011,545
545,1100111,546
546,1001111,547
547,0011112,548
548,0111120,549
549,1111200,550
550,1112001,551
551,1120011,552
552,1200111,553
553,2001112,554
554,0011121,555
555,0111210,556
556,1112100,557
557,1121001,558
558,1210011,559
559,2100111,560
560,1001112,561
561,0011122,562
562,0111220,563
563,1112200,564
564,1122001,565
565,1220011,566
566,2200112,567
567,2001120,568
568,0011201,569
569,0112010,570
570,1120100,571
571,1201001,572
572,2010011,573
573,0100112,574
574,1001120,575
575,0011202,576
576,0112020,577
577,1120200,578
578,1202001,579
579,2020011,580
580,0200112,581
581,2001121,582
582,0011211,583
583,0112110,584
584,1121100,585
585,1211001,586
586,2110011,587
587,1100112,588
588,1001121,589
589,0011212,590
590,0112120,591
591,1121200,592
592,1212001,593
593,2120011,594
594,1200112,595
595,2001122,596
596,0011221,597
597,0112210,598
598,1122100,599
599,1221001,600
600,2210011,601
601,2100112,602
602,1001122,603
603,0011222,604
604,0112220,605
605,1122200,606
606,1222001,607
607,2220012,608
608,2200120,609
609,2001200,610
610,0012002,611
611,0120020,612
612,1200200,613
613,2002001,614
614,0020012,615
615,0200120,616
616,2001201,617
617,0012011,618
618,0120110,619
619,1201100,620
620,2011001,621
621,0110012,622
622,1100120,623
623,1001201,624
624,0012012,625
625,0120120,626
626,1201200,627
627,2012001,628
628,0120012,629
629,1200120,630
630,2001202,631
631,0012021,632
632,0120210,633
633,1202100,634
634,2021001,635
635,0210012,636
636,2100120,637
637,1001202,638
638,0012022,639
639,0120220,640
640,1202200,641
641,2022001,642
642,0220012,643
643,2200121,644
644,2001210,645
645,0012101,646
646,0121010,647
647,1210100,648
648,2101001,649
649,1010012,650
650,0100121,651
651,1001210,652
652,0012102,653
653,0121020,654
654,1210200,655
655,2102001,656
656,1020012,657
657,0200121,658
658,2001211,659
659,0012111,660
660,0121110,661
661,1211100,662
662,2111001,663
663,1110012,664
664,1100121,665
665,1001211,666
666,0012112,667
667,0121120,668
668,1211200,669
669,2112001,670
670,1120012,671
671,1200121,672
672,2001212,673
673,0012121,674
674,0121210,675
675,1212100,676
676,2121001,677
677,1210012,678
678,2100121,679
679,1001212,680
680,0012122,681
681,0121220,682
682,1212200,683
683,2122001,684
684,1220012,685
685,2200122,686
686,2001220,687
687,0012201,688
688,0122010,689
689,1220100,690
690,2201001,691
691,2010012,692
692,0100122,693
693,1001220,694
694,0012202,695
695,0122020,696
696,1220200,697
697,2202001,698
698,2020012,699
699,0200122,700
700,2001221,701
701,0012211,702
702,0122110,703
703,1221100,704
704,2211001,705
705,2110012,706
706,1100122,707
707,1001221,708
708,0012212,709
709,0122120,710
710,1221200,711
711,2212001,712
712,2120012,713
713,1200122,714
714,2001222,715
715,0012221,716
716,0122210,717
717,1222100,718
718,2221001,719
719,2210012,720
720,2100122,721
721,1001222,722
722,0012222,723
723,0122220,724
724,1222200,725
725,2222002,726
726,2220020,727
727,2200200,728
728,2002002,729
729,0020021,730
730,0200210,731
731,2002100,732
732,0021002,733
733,0210020,734
734,2100200,735
735,1002002,736
736,0020022,737
737,0200220,738
738,2002200,739
739,0022002,740
740,0220020,741
741,2200201,742
742,2002010,743
743,0020101,744
744,0201010,745
745,2010100,746
746,0101002,747
747,1010020,748
748,0100201,749
749,1002010,750
750,0020102,751
751,0201020,752
752,2010200,753
753,0102002,754
754,1020020,755
755,0200201,756
756,2002011,757
757,0020111,758
758,0201110,759
759,2011100,760
760,0111002,761
761,1110020,762
762,1100201,763
763,1002011,764
764,0020112,765
765,0201120,766
766,2011200,767
767,0112002,768
768,1120020,769
769,1200201,770
770,2002012,771
771,0020121,772
772,0201210,773
773,2012100,774
774,0121002,775
775,1210020,776
776,2100201,777
777,1002012,778
778,0020122,779
779,0201220,780
780,2012200,781
781,0122002,782
782,1220020,783
783,2200202,784
784,2002020,785
785,0020201,786
786,0202010,787
787,2020100,788
788,0201002,789
789,2010020,790
790,0100202,791
791,1002020,792
792,0020202,793
793,0202020,794
794,2020200,795
795,0202002,796
796,2020020,797
797,0200202,798
798,2002021,799
799,0020211,800
800,0202110,801
801,2021100,802
802,0211002,803
803,2110020,804
804,1100202,805
805,1002021,806
806,0020212,807
807,0202120,808
808,2021200,809
809,0212002,810
810,2120020,811
811,1200202,812
812,2002022,813
813,0020221,814
814,0202210,815
815,2022100,816
816,0221002,817
817,2210020,818
818,2100202,819
819,1002022,820
820,0020222,821
821,0202220,822
822,2022200,823
823,0222002,824
824,2220021,825
825,2200210,826
826,2002101,827
827,0021011,828
828,0210110,829
829,2101100,830
830,1011002,831
831,0110021,832
832,1100210,833
833,1002101,834
834,0021012,835
835,0210120,836
836,2101200,837
837,1012002,838
838,0120021,839
839,1200210,840
840,2002102,841
841,0021021,842
842,0210210,843
843,2102100,844
844,1021002,845
845,0210021,846
846,2100210,847
847,1002102,848
848,0021022,849
849,0210220,850
850,2102200,851
851,1022002,852
852,0220021,853
853,2200211,854
854,2002110,855
855,0021101,856
856,0211010,857
857,2110100,858
858,1101002,859
859,1010021,860
860,0100211,861
861,1002110,862
862,0021102,863
863,0211020,864
864,2110200,865
865,1102002,866
866,1020021,867
867,0200211,868
868,2002111,869
869,0021111,870
870,0211110,871
871,2111100,872
872,1111002,873
873,1110021,874
874,1100211,875
875,1002111,876
876,0021112,877
877,0211120,878
878,2111200,879
879,1112002,880
880,1120021,881
881,1200211,882
882,2002112,883
883,0021121,884
884,0211210,885
885,2112100,886
886,1121002,887
887,1210021,888
888,2100211,889
889,1002112,890
890,0021122,891
891,0211220,892
892,2112200,893
893,1122002,894
894,1220021,895
895,2200212,896
896,2002120,897
897,0021201,898
898,0212010,899
899,2120100,900
900,1201002,901
901,2010021,902
902,0100212,903
903,1002120,904
904,0021202,905
905,0212020,906
906,2120200,907
907,1202002,908
908,2020021,909
909,0200212,910
910,2002121,911
911,0021211,912
912,0212110,913
913,2121100,914
914,1211002,915
915,2110021,916
916,1100212,917
917,1002121,918
918,0021212,919
919,0212120,920
920,2121200,921
921,1212002,922
922,2120021,923
923,1200212,924
924,2002122,925
925,0021221,926
926,0212210,927
927,2122100,928
928,1221002,929
929,2210021,930
930,2100212,931
931,1002122,932
932,0021222,933
933,0212220,934
934,2122200,935
935,1222002,936
936,2220022,937
937,2200220,938
938,2002201,939
939,0022011,940
940,0220110,941
941,2201100,942
942,2011002,943
943,0110022,944
944,1100220,945
945,1002201,946
946,0022012,947
947,0220120,948
948,2201200,949
949,2012002,950
950,0120022,951
951,1200220,952
952,2002202,953
953,0022021,954
954,0220210,955
955,2202100,956
956,2021002,957
957,0210022,958
958,2100220,959
959,1002202,960
960,0022022,961
961,0220220,962
962,2202200,963
963,2022002,964
964,0220022,965
965,2200221,966
966,2002210,967
967,0022101,968
968,0221010,969
969,2210100,970
970,2101002,971
971,1010022,972
972,0100221,973
973,1002210,974
974,0022102,975
975,0221020,976
976,2210200,977
977,2102002,978
978,1020022,979
979,0200221,980
980,2002211,981
981,0022111,982
982,0221110,983
983,2211100,984
984,2111002,985
985,1110022,986
986,1100221,987
987,1002211,988
988,0022112,989
989,0221120,990
990,2211200,991
991,2112002,992
992,1120022,993
993,1200221,994
994,2002212,995
995,0022121,996
996,0221210,997
997,2212100,998
998,2121002,999
999,1210022,1000
1000,2100221,1001
1001,1002212,1002
1002,0022122,1003
1003,0221220,1004
1004,2212200,1005
1005,2122002,1006
1006,1220022,1007
1007,2200222,1008
1008,2002220,1009
1009,0022201,1010
1010,0222010,1011
1011,2220100,1012
1012,2201002,1013
1013,2010022,1014
1014,0100222,1015
1015,1002220,1016
1016,0022202,1017
1017,0222020,1018
1018,2220200,1019
1019,2202002,1020
1020,2020022,1021
1021,0200222,1022
1022,2002221,1023
1023,0022211,1024
1024,0222110,1025
1025,2221100,1026
1026,2211002,1027
1027,2110022,1028
1028,1100222,1029
1029,1002221,1030
1030,0022212,1031
1031,0222120,1032
1032,2221200,1033
1033,2212002,1034
1034,2120022,1035
1035,1200222,1036
1036,2002222,1037
1037,0022221,1038
1038,0222210,1039
1039,2222100,1040
1040,2221002,1041
1041,2210022,1042
1042,2100222,1043
1043,1002222,1044
1044,0022222,1045
1045,0222220,1046
1046,2222201,1047
1047,2222010,1048
1048,2220101,1049
1049,2201010,1050
1050,2010101,1051
1051,0101011,1052
1052,1010110,1053
1053,0101101,1054
1054,1011010,1055
1055,0110101,1056
1056,1101010,1057
1057,1010101,1058
1058,0101012,1059
1059,1010120,1060
1060,0101201,1061
1061,1012010,1062
1062,0120101,1063
1063,1201010,1064
1064,2010102,1065
1065,0101021,1066
1066,1010210,1067
1067,0102101,1068
1068,1021010,1069
1069,0210101,1070
1070,2101010,1071
1071,1010102,1072
1072,0101022,1073
1073,1010220,1074
1074,0102201,1075
1075,1022010,1076
1076,0220101,1077
1077,2201011,1078
1078,2010110,1079
1079,0101102,1080
1080,1011020,1081
1081,0110201,1082
1082,1102010,1083
1083,1020101,1084
1084,0201011,1085
1085,2010111,1086
1086,0101111,1087
1087,1011110,1088
1088,0111101,1089
1089,1111010,1090
1090,1110101,1091
1091,1101011,1092
1092,1010111,1093
1093,0101112,1094
1094,1011120,1095
1095,0111201,1096
1096,1112010,1097
1097,1120101,1098
1098,1201011,1099
1099,2010112,1100
1100,0101121,1101
1101,1011210,1102
1102,0112101,1103
1103,1121010,1104
1104,1210101,1105
1105,2101011,1106
1106,1010112,1107
1107,0101122,1108
1108,1011220,1109
1109,0112201,1110
1110,1122010,1111
1111,1220101,1112
1112,2201012,1113
1113,2010120,1114
1114,0101202,1115
1115,1012020,1116
1116,0120201,1117
1117,1202010,1118
1118,2020101,1119
1119,0201012,1120
1120,2010121,1121
1121,0101211,1122
1122,1012110,1123
1123,0121101,1124
1124,1211010,1125
1125,2110101,1126
1126,1101012,1127
1127,1010121,1128
1128,0101212,1129
1129,1012120,1130
1130,0121201,1131
1131,1212010,1132
1132,2120101,1133
1133,1201012,1134
1134,2010122,1135
1135,0101221,1136
1136,1012210,1137
1137,0122101,1138
1138,1221010,1139
1139,2210101,1140
1140,2101012,1141
1141,1010122,1142
1142,0101222,1143
1143,1012220,1144
1144,0122201,1145
1145,1222010,1146
1146,2220102,1147
1147,2201020,1148
1148,2010201,1149
1149,0102011,1150
1150,1020110,1151
1151,0201101,1152
1152,2011010,1153
1153,0110102,1154
1154,1101020,1155
1155,1010201,1156
1156,0102012,1157
1157,1020120,1158
1158,0201201,1159
1159,2012010,1160
1160,0120102,1161
1161,1201020,1162
1162,2010202,1163
1163,0102021,1164
1164,1020210,1165
1165,0202101,1166
1166,2021010,1167
1167,0210102,1168
1168,2101020,1169
1169,1010202,1170
1170,0102022,1171
1171,1020220,1172
1172,0202201,1173
1173,2022010,1174
1174,0220102,1175
1175,2201021,1176
1176,2010210,1177
1177,0102102,1178
1178,1021020,1179
1179,0210201,1180
1180,2102010,1181
1181,1020102,1182
1182,0201021,1183
1183,2010211,1184
1184,0102111,1185
1185,1021110,1186
1186,0211101,1187
1187,2111010,1188
1188,1110102,1189
1189,1101021,1190
1190,1010211,1191
1191,0102112,1192
1192,1021120,1193
1193,0211201,1194
1194,2112010,1195
1195,1120102,1196
1196,1201021,1197
1197,2010212,1198
1198,0102121,1199
1199,1021210,1200
1200,0212101,1201
1201,2121010,1202
1202,1210102,1203
1203,2101021,1204
1204,1010212,1205
1205,0102122,1206
1206,1021220,1207
1207,0212201,1208
1208,2122010,1209
1209,1220102,1210
1210,2201022,1211
1211,2010220,1212
1212,0102202,1213
1213,1022020,1214
1214,0220201,1215
1215,2202010,1216
1216,2020102,1217
1217,0201022,1218
1218,2010221,1219
1219,0102211,1220
1220,1022110,1221
1221,0221101,1222
1222,2211010,1223
1223,2110102,1224
1224,1101022,1225
1225,1010221,1226
1226,0102212,1227
1227,1022120,1228
1228,0221201,1229
1229,2212010,1230
1230,2120102,1231
1231,1201022,1232
1232,2010222,1233
1233,0102221,1234
1234,1022210,1235
1235,0222101,1236
1236,2221010,1237
1237,2210102,1238
1238,2101022,1239
1239,1010222,1240
1240,0102222,1241
1241,1022220,1242
1242,0222201,1243
1243,2222011,1244
1244,2220110,1245
1245,2201101,1246
1246,2011011,1247
1247,0110111,1248
1248,1101110,1249
1249,1011101,1250
1250,0111011,1251
1251,1110110,1252
1252,1101101,1253
1253,1011011,1254
1254,0110112,1255
1255,1101120,1256
1256,1011201,1257
1257,0112011,1258
1258,1120110,1259
1259,1201101,1260
1260,2011012,1261
1261,0110121,1262
1262,1101210,1263
1263,1012101,1264
1264,0121011,1265
1265,1210110,1266
1266,2101101,1267
1267,1011012,1268
1268,0110122,1269
1269,1101220,1270
1270,1012201,1271
1271,0122011,1272
1272,1220110,1273
1273,2201102,1274
1274,2011020,1275
1275,0110202,1276
1276,1102020,1277
1277,1020201,1278
1278,0202011,1279
1279,2020110,1280
1280,0201102,1281
1281,2011021,1282
1282,0110211,1283
1283,1102110,1284
1284,1021101,1285
1285,0211011,1286
1286,2110110,1287
1287,1101102,1288
1288,1011021,1289
1289,0110212,1290
1290,1102120,1291
1291,1021201,1292
1292,0212011,1293
1293,2120110,1294
1294,1201102,1295
1295,2011022,1296
1296,0110221,1297
1297,1102210,1298
1298,1022101,1299
1299,0221011,1300
1300,2210110,1301
1301,2101102,1302
1302,1011022,1303
1303,0110222,1304
1304,1102220,1305
1305,1022201,1306
1306,0222011,1307
1307,2220111,1308
1308,2201110,1309
1309,2011101,1310
1310,0111012,1311
1311,1110120,1312
1312,1101201,1313
1313,1012011,1314
1314,0120111,1315
1315,1201110,1316
1316,2011102,1317
1317,0111021,1318
1318,1110210,1319
1319,1102101,1320
1320,1021011,1321
1321,0210111,1322
1322,2101110,1323
1323,1011102,1324
1324,0111022,1325
1325,1110220,1326
1326,1102201,1327
1327,1022011,1328
1328,0220111,1329
1329,2201111,1330
1330,2011110,1331
1331,0111102,1332
1332,1111020,1333
1333,1110201,1334
1334,1102011,1335
1335,1020111,1336
1336,0201111,1337
1337,2011111,1338
1338,0111111,1339
1339,1111110,1340
1340,1111101,1341
1341,1111011,1342
1342,1110111,1343
1343,1101111,1344
1344,1011111,1345
1345,0111112,1346
1346,1111120,1347
1347,1111201,1348
1348,1112011,1349
1349,1120111,1350
1350,1201111,1351
1351,2011112,1352
1352,0111121,1353
1353,1111210,1354
1354,1112101,1355
1355,1121011,1356
1356,1210111,1357
1357,2101111,1358
1358,1011112,1359
1359,0111122,1360
1360,1111220,1361
1361,1112201,1362
1362,1122011,1363
1363,1220111,1364
1364,2201112,1365
1365,2011120,1366
1366,0111202,1367
1367,1112020,1368
1368,1120201,1369
1369,1202011,1370
1370,2020111,1371
1371,0201112,1372
1372,2011121,1373
1373,0111211,1374
1374,1112110,1375
1375,1121101,1376
1376,1211011,1377
1377,2110111,1378
1378,1101112,1379
1379,1011121,1380
1380,0111212,1381
1381,1112120,1382
1382,1121201,1383
1383,1212011,1384
1384,2120111,1385
1385,1201112,1386
1386,2011122,1387
1387,0111221,1388
1388,1112210,1389
1389,1122101,1390
1390,1221011,1391
1391,2210111,1392
1392,2101112,1393
1393,1011122,1394
1394,0111222,1395
1395,1112220,1396
1396,1122201,1397
1397,1222011,1398
1398,2220112,1399
1399,2201120,1400
1400,2011201,1401
1401,0112012,1402
1402,1120120,1403
1403,1201201,1404
1404,2012011,1405
1405,0120112,1406
1406,1201120,1407
1407,2011202,1408
1408,0112021,1409
1409,1120210,1410
1410,1202101,1411
1411,2021011,1412
1412,0210112,1413
1413,2101120,1414
1414,1011202,1415
1415,0112022,1416
1416,1120220,1417
1417,1202201,1418
1418,2022011,1419
1419,0220112,1420
1420,2201121,1421
1421,2011210,1422
1422,0112102,1423
1423,1121020,1424
1424,1210201,1425
1425,2102011,1426
1426,1020112,1427
1427,0201121,1428
1428,2011211,1429
1429,0112111,1430
1430,1121110,1431
1431,1211101,1432
1432,2111011,1433
1433,1110112,1434
1434,1101121,1435
1435,1011211,1436
1436,0112112,1437
1437,1121120,1438
1438,1211201,1439
1439,2112011,1440
1440,1120112,1441
1441,1201121,1442
1442,2011212,1443
1443,0112121,1444
1444,1121210,1445
1445,1212101,1446
1446,2121011,1447
1447,1210112,1448
1448,2101121,1449
1449,1011212,1450
1450,0112122,1451
1451,1121220,1452
1452,1212201,1453
1453,2122011,1454
1454,1220112,1455
1455,2201122,1456
1456,2011220,1457
1457,0112202,1458
1458,1122020,1459
1459,1220201,1460
1460,2202011,1461
1461,2020112,1462
1462,0201122,1463
1463,2011221,1464
1464,0112211,1465
1465,1122110,1466
1466,1221101,1467
1467,2211011,1468
1468,2110112,1469
1469,1101122,1470
1470,1011221,1471
1471,0112212,1472
1472,1122120,1473
1473,1221201,1474
1474,2212011,1475
1475,2120112,1476
1476,1201122,1477
1477,2011222,1478
1478,0112221,1479
1479,1122210,1480
1480,1222101,1481
1481,2221011,1482
1482,2210112,1483
1483,2101122,1484
1484,1011222,1485
1485,0112222,1486
1486,1122220,1487
1487,1222201,1488
1488,2222012,1489
1489,2220120,1490
1490,2201201,1491
1491,2012012,1492
1492,0120121,1493
1493,1201210,1494
1494,2012101,1495
1495,0121012,1496
1496,1210120,1497
1497,2101201,1498
1498,1012012,1499
1499,0120122,1500
1500,1201220,1501
1501,2012201,1502
1502,0122012,1503
1503,1220120,1504
1504,2201202,1505
1505,2012020,1506
1506,0120202,1507
1507,1202020,1508
1508,2020201,1509
1509,0202012,1510
1510,2020120,1511
1511,0201202,1512
1512,2012021,1513
1513,0120211,1514
1514,1202110,1515
1515,2021101,1516
1516,0211012,1517
1517,2110120,1518
1518,1101202,1519
1519,1012021,1520
1520,0120212,1521
1521,1202120,1522
1522,2021201,1523
1523,0212012,1524
1524,2120120,1525
1525,1201202,1526
1526,2012022,1527
1527,0120221,1528
1528,1202210,1529
1529,2022101,1530
1530,0221012,1531
1531,2210120,1532
